Loan_ID,Gender,Married,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status,LoanAmount_log,TotalIncome,TotalIncome_log
LP001095,Male,No,Graduate,No,3167,0.0,74,360,1,Urban,false,4.31748811353631,3167.0,8.060855752934316
LP001097,Male,No,Graduate,Yes,4692,0.0,106,360,1,Rural,false,4.672828834461906,4692.0,8.453827315794417
LP001098,Male,Yes,Graduate,No,3500,1667.0,114,360,1,Semiurban,true,4.74493212836325,5167.0,8.550241045462437
LP001100,Male,No,Graduate,No,12500,3000.0,320,360,1,Rural,false,5.771441123130016,15500.0,9.648659816955295
LP001106,Male,Yes,Graduate,No,2275,2067.0,146,360,1,Urban,true,4.866324565936641,4342.0,8.376320632534823
LP001109,Male,Yes,Graduate,No,1828,1330.0,100,84,0,Urban,false,4.61512051684126,3158.0,8.058010800802085
LP001112,Female,Yes,Graduate,No,3667,1459.0,144,360,1,Semiurban,true,4.976733742420574,5126.0,8.5422759717837
LP001114,Male,No,Graduate,No,4166,7210.0,184,360,1,Urban,true,5.220355825078324,11376.0,9.339349052539717
LP001116,Male,No,Not Graduate,No,3748,1668.0,110,360,1,Semiurban,true,4.709530201312334,5416.0,8.597297435657898
LP001119,Male,No,Graduate,No,3600,0.0,80,360,1,Urban,false,4.394449154672439,3600.0,8.188966863648876
LP001120,Male,No,Graduate,No,1800,1213.0,47,360,1,Urban,true,3.8712010109078907,3013.0,8.01102337918644
LP001123,Male,Yes,Graduate,No,2400,0.0,75,360,1,Urban,true,4.330733340286331,2400.0,7.783640596221253
LP001131,Male,Yes,Graduate,No,3941,2336.0,134,360,1,Semiurban,true,4.90527477843843,6277.0,8.744806737401898
LP001136,Male,Yes,Not Graduate,Yes,4695,0.0,96,84,1,Urban,true,4.574710978503383,4695.0,8.454466361507933
LP001137,Female,No,Graduate,No,3410,0.0,88,84,1,Urban,true,4.48863636973214,3410.0,8.134760782418645
LP001138,Male,Yes,Graduate,No,5649,0.0,44,360,1,Urban,true,3.8066624897703196,5649.0,8.639410824140487
LP001144,Male,Yes,Graduate,No,5821,0.0,144,360,1,Urban,true,4.976733742420574,5821.0,8.669399124305569
LP001146,Female,Yes,Graduate,No,2645,3440.0,120,360,0,Urban,false,4.795790545596741,6085.0,8.713746330456916
LP001151,Female,No,Graduate,No,4000,2275.0,144,360,1,Semiurban,true,4.976733742420574,6275.0,8.744488113852924
LP001155,Female,Yes,Not Graduate,No,1928,1644.0,100,360,1,Semiurban,true,4.61512051684126,3572.0,8.181160858023409
LP001157,Female,No,Graduate,No,3086,0.0,120,360,1,Semiurban,true,4.795790545596741,3086.0,8.034955024502159
LP001164,Female,No,Graduate,No,4230,0.0,112,360,1,Semiurban,false,4.727387818712341,4230.0,8.350193650720067
LP001179,Male,Yes,Graduate,No,4616,0.0,134,360,1,Urban,false,4.90527477843843,4616.0,8.43750042250699
LP001186,Female,Yes,Graduate,Yes,11500,0.0,286,360,0,Urban,false,5.659482215759621,11500.0,9.350189267092581
LP001194,Male,Yes,Graduate,No,2708,1167.0,97,360,1,Semiurban,true,4.584967478670572,3875.0,8.262558973010657
LP001195,Male,Yes,Graduate,No,2132,1591.0,96,360,1,Semiurban,true,4.574710978503383,3723.0,8.222553638396958
LP001197,Male,Yes,Graduate,No,3366,2200.0,135,360,1,Rural,false,4.912654885736052,5566.0,8.624611588183507
LP001198,Male,Yes,Graduate,No,8080,2250.0,180,360,1,Urban,true,5.198497031265826,10330.0,9.242904362849446
LP001199,Male,Yes,Not Graduate,No,3357,2859.0,144,360,1,Urban,true,4.976733742420574,6216.0,8.735042754269337
LP001205,Male,Yes,Graduate,No,2500,3796.0,120,360,1,Urban,true,4.795790545596741,6296.0,8.747828608488742
LP001206,Male,Yes,Graduate,No,3029,0.0,99,360,1,Urban,true,4.605170185988092,3029.0,8.016317898503415
LP001207,Male,Yes,Not Graduate,Yes,2609,3449.0,165,180,0,Rural,false,5.111987788356544,6058.0,8.70930004894499
LP001213,Male,Yes,Graduate,No,4945,0.0,146,360,0,Rural,false,4.866324565936641,4945.0,8.506334448081361
LP001222,Female,No,Graduate,No,4166,0.0,116,360,0,Semiurban,false,4.762173934797756,4166.0,8.334951631422454
LP001225,Male,Yes,Graduate,No,5726,4595.0,258,360,1,Semiurban,false,5.556828061699537,10321.0,9.242032818708672
LP001228,Male,No,Not Graduate,No,3200,2254.0,126,180,0,Urban,false,4.844187086458591,5454.0,8.604287898267172
LP001233,Male,Yes,Graduate,No,10750,0.0,312,360,1,Urban,true,5.746203190540153,10750.0,9.282754052485227
LP001238,Male,Yes,Not Graduate,Yes,7100,0.0,125,60,1,Urban,true,4.836281906951478,7100.0,8.867990898182093
LP001241,Female,No,Graduate,No,4300,0.0,136,360,0,Semiurban,false,4.919980925828125,4300.0,8.366602832783736
LP001243,Male,Yes,Graduate,No,3208,3066.0,172,360,1,Urban,true,5.153291594497779,6274.0,8.744328763999984
LP001245,Male,Yes,Not Graduate,Yes,1875,1875.0,97,360,1,Semiurban,true,4.584967478670572,3750.0,8.229777750081887
LP001248,Male,No,Graduate,No,3500,0.0,81,300,1,Semiurban,true,4.406719247264253,3500.0,8.160803920954665
LP001250,Male,Yes,Not Graduate,No,4755,0.0,95,84,0,Semiurban,false,4.564348191467836,4755.0,8.467162257810672
LP001253,Male,Yes,Graduate,Yes,5266,1774.0,187,360,1,Semiurban,true,5.236441962829949,7040.0,8.859505484519133
LP001255,Male,No,Graduate,No,3750,0.0,113,480,1,Urban,false,4.736198448394496,3750.0,8.229777750081887
LP001256,Male,No,Graduate,No,3750,4750.0,176,360,1,Urban,false,5.176149732573829,8500.0,9.04793908261736
LP001259,Male,Yes,Graduate,Yes,1000,3022.0,110,360,1,Urban,false,4.709530201312334,4022.0,8.299783171949787
LP001263,Male,Yes,Graduate,No,3167,4000.0,180,300,0,Semiurban,false,5.198497031265826,7167.0,8.877381954654766
LP001264,Male,Yes,Not Graduate,Yes,3333,2166.0,130,360,1,Semiurban,true,4.875197323201151,5499.0,8.612503371220562
LP001265,Female,No,Graduate,No,3846,0.0,111,360,1,Semiurban,true,4.718498871295094,3846.0,8.255048902752295
LP001266,Male,Yes,Graduate,Yes,2395,0.0,146,360,1,Semiurban,true,4.866324565936641,2395.0,7.78155595923534
LP001267,Female,Yes,Graduate,No,1378,1881.0,167,360,1,Urban,false,5.123963979403259,3259.0,8.089482474360754
LP001273,Male,Yes,Graduate,No,6000,2250.0,265,360,1,Semiurban,false,5.583496308781699,8250.0,9.018089684104343
LP001275,Male,Yes,Graduate,No,3988,0.0,50,240,1,Urban,true,3.9318256327243257,3988.0,8.291295851905407
LP001279,Male,No,Graduate,No,2366,2531.0,136,360,1,Semiurban,true,4.919980925828125,4897.0,8.496582237512113
LP001280,Male,Yes,Not Graduate,No,3333,2000.0,99,360,1,Semiurban,true,4.605170185988092,5333.0,8.58185670474196
LP001282,Male,Yes,Graduate,No,2500,2118.0,104,360,1,Semiurban,true,4.653960350157523,4618.0,8.437933510430605
LP001289,Male,No,Graduate,No,8566,0.0,210,360,1,Urban,true,5.351858133476067,8566.0,9.055672891964043
LP001310,Male,Yes,Graduate,No,5695,4167.0,175,360,1,Semiurban,true,5.170483995038152,9862.0,9.196545660953994
LP001316,Male,Yes,Graduate,No,2958,2900.0,131,360,1,Semiurban,true,4.882801922586371,5858.0,8.675734219544788
LP001318,Male,Yes,Graduate,No,6250,5654.0,188,180,1,Semiurban,true,5.241747015059643,11904.0,9.384713758920963
LP001319,Male,Yes,Not Graduate,No,3273,1820.0,81,360,1,Urban,true,4.406719247264253,5093.0,8.535818655539403
LP001322,Male,No,Graduate,No,4133,0.0,122,360,1,Semiurban,true,4.812184355372417,4133.0,8.327000740241713
LP001325,Male,No,Not Graduate,No,3620,0.0,25,120,1,Semiurban,true,3.258096538021482,3620.0,8.19450550976564
LP001326,Male,No,Graduate,No,6782,0.0,146,360,1,Urban,false,4.866324565936641,6782.0,8.82217476094608
LP001327,Female,Yes,Graduate,No,2484,2302.0,137,360,1,Semiurban,true,4.927253685157205,4786.0,8.473659189392508
LP001333,Male,Yes,Graduate,No,1977,997.0,50,360,1,Semiurban,true,3.9318256327243257,2974.0,7.99799931797973
LP001334,Male,Yes,Not Graduate,No,4188,0.0,115,180,1,Semiurban,true,4.7535901911063645,4188.0,8.340217320947035
LP001343,Male,Yes,Graduate,No,1759,3541.0,131,360,1,Semiurban,true,4.882801922586371,5300.0,8.575650760987806
LP001345,Male,Yes,Not Graduate,No,4288,3263.0,133,180,1,Urban,true,4.897839799950911,7551.0,8.929567707825337
LP001349,Male,No,Graduate,No,4843,3806.0,151,360,1,Semiurban,true,5.0238805208462765,8649.0,9.065314599925925
LP001350,Male,Yes,Graduate,No,13650,0.0,146,360,1,Urban,true,4.866324565936641,13650.0,9.521568058002977
LP001356,Male,Yes,Graduate,No,4652,3583.0,146,360,1,Semiurban,true,4.866324565936641,8235.0,9.01627006814768
LP001357,Male,Yes,Graduate,No,3816,754.0,160,360,1,Urban,true,5.081404364984463,4570.0,8.427487278331744
LP001367,Male,Yes,Graduate,No,3052,1030.0,100,360,1,Urban,true,4.61512051684126,4082.0,8.314587291319576
LP001369,Male,Yes,Graduate,No,11417,1126.0,225,360,1,Urban,true,5.420534999272286,12543.0,9.436997742590188
LP001370,Male,No,Not Graduate,No,7333,0.0,120,360,1,Rural,false,4.795790545596741,7333.0,8.900276348631271
LP001379,Male,Yes,Graduate,No,3800,3600.0,216,360,0,Urban,false,5.37989735354046,7400.0,8.909370405197466
LP001384,Male,Yes,Not Graduate,No,2071,754.0,94,480,1,Semiurban,true,4.553876891600541,2825.0,7.946617563244473
LP001385,Male,No,Graduate,No,5316,0.0,136,360,1,Urban,true,4.919980925828125,5316.0,8.57866451350434
LP001387,Female,Yes,Graduate,No,2929,2333.0,139,360,1,Semiurban,true,4.941642422609304,5262.0,8.56845648535378
LP001391,Male,Yes,Not Graduate,No,3572,4114.0,152,84,0,Rural,false,5.030437921392435,7686.0,8.947285869349132
LP001392,Female,No,Graduate,Yes,7451,0.0,146,360,1,Semiurban,true,4.866324565936641,7451.0,8.916237731721479
LP001398,Male,No,Graduate,No,5050,0.0,118,360,1,Semiurban,true,4.77912349311153,5050.0,8.527341522468053
LP001401,Male,Yes,Graduate,No,14583,0.0,185,180,1,Rural,true,5.225746673713202,14583.0,9.5876803163585
LP001404,Female,Yes,Graduate,No,3167,2283.0,154,360,1,Semiurban,true,5.043425116919247,5450.0,8.603554357064281
LP001405,Male,Yes,Graduate,No,2214,1398.0,85,360,1,Urban,true,4.454347296253507,3612.0,8.19229373114764
LP001421,Male,Yes,Graduate,No,5568,2142.0,175,360,1,Rural,false,5.170483995038152,7710.0,8.95040315983296
LP001422,Female,No,Graduate,No,10408,0.0,259,360,1,Urban,true,5.560681631015528,10408.0,9.250426095515468
LP001426,Male,Yes,Graduate,No,5667,2667.0,180,360,1,Rural,true,5.198497031265826,8334.0,9.028218795184895
LP001430,Female,No,Graduate,No,4166,0.0,44,360,1,Semiurban,true,3.8066624897703196,4166.0,8.334951631422454
LP001431,Female,No,Graduate,No,2137,8980.0,137,360,0,Semiurban,true,4.927253685157205,11117.0,9.316320695513415
LP001432,Male,Yes,Graduate,No,2957,0.0,81,360,1,Semiurban,true,4.406719247264253,2957.0,7.992268643270745
LP001439,Male,Yes,Not Graduate,No,4300,2014.0,194,360,1,Rural,true,5.272999558563747,6314.0,8.750683034784592
LP001443,Female,No,Graduate,No,3692,0.0,93,360,1,Rural,true,4.543294782270004,3692.0,8.214194414852564
LP001448,Male,Yes,Graduate,No,23803,0.0,370,360,1,Rural,true,5.916202062607435,23803.0,10.077608912764743
LP001449,Male,No,Graduate,No,3865,1640.0,146,360,1,Rural,true,4.866324565936641,5505.0,8.613593685702552
LP001451,Male,Yes,Graduate,Yes,10513,3850.0,160,180,0,Urban,false,5.081404364984463,14363.0,9.572480355345974
LP001465,Male,Yes,Graduate,No,6080,2569.0,182,360,1,Rural,false,5.209486152841421,8649.0,9.065314599925925
LP001469,Male,No,Graduate,Yes,20166,0.0,650,480,1,Urban,true,6.478509642208569,20166.0,9.911802884139842
LP001473,Male,No,Graduate,No,2014,1929.0,74,360,1,Urban,true,4.31748811353631,3943.0,8.279950715722526
LP001478,Male,No,Graduate,No,2718,0.0,70,360,1,Semiurban,true,4.2626798770413155,2718.0,7.908019444632471
LP001482,Male,Yes,Graduate,Yes,3459,0.0,25,120,1,Semiurban,true,3.258096538021482,3459.0,8.14902386805177
LP001487,Male,No,Graduate,No,4895,0.0,102,360,1,Semiurban,true,4.634728988229636,4895.0,8.496173824192162
LP001488,Male,Yes,Graduate,No,4000,7750.0,290,360,1,Semiurban,false,5.673323267171493,11750.0,9.371693622333941
LP001489,Female,Yes,Graduate,No,4583,0.0,84,360,1,Rural,false,4.442651256490317,4583.0,8.430327258394575
LP001491,Male,Yes,Graduate,Yes,3316,3500.0,88,360,1,Urban,true,4.48863636973214,6816.0,8.827174771362785
LP001492,Male,No,Graduate,No,14999,0.0,242,360,0,Semiurban,false,5.493061443340548,14999.0,9.615805480084347
LP001493,Male,Yes,Not Graduate,No,4200,1430.0,129,360,1,Rural,false,4.867534450455582,5630.0,8.636042325254618
LP001497,Male,Yes,Graduate,No,5042,2083.0,185,360,1,Rural,false,5.225746673713202,7125.0,8.871505346165781
LP001498,Male,No,Graduate,No,5417,0.0,168,360,1,Urban,true,5.1298987149230735,5417.0,8.59748202264504
LP001504,Male,No,Graduate,Yes,6950,0.0,175,180,1,Semiurban,true,5.170483995038152,6950.0,8.846640813100485
LP001507,Male,Yes,Graduate,No,2698,2034.0,122,360,1,Semiurban,true,4.812184355372417,4732.0,8.462314529906248
LP001508,Male,Yes,Graduate,No,11757,0.0,187,180,1,Urban,true,5.236441962829949,11757.0,9.3722891389622
LP001514,Female,Yes,Graduate,No,2330,4486.0,100,360,1,Semiurban,true,4.61512051684126,6816.0,8.827174771362785
LP001516,Female,Yes,Graduate,No,14866,0.0,70,360,1,Urban,true,4.2626798770413155,14866.0,9.60689927061335
LP001518,Male,Yes,Graduate,No,1538,1425.0,30,360,1,Urban,true,3.4339872044851463,2963.0,7.994294986415977
LP001519,Female,No,Graduate,No,10000,1666.0,225,360,1,Rural,false,5.420534999272286,11666.0,9.364519622823856
LP001520,Male,Yes,Graduate,No,4860,830.0,125,360,1,Semiurban,true,4.836281906951478,5690.0,8.646641258603124
LP001528,Male,No,Graduate,No,6277,0.0,118,360,0,Rural,false,4.77912349311153,6277.0,8.744806737401898
LP001529,Male,Yes,Graduate,Yes,2577,3750.0,152,360,1,Rural,true,5.030437921392435,6327.0,8.75273950944749
LP001531,Male,No,Graduate,No,9166,0.0,244,360,1,Urban,false,5.501258210544727,9166.0,9.123365357961776
LP001532,Male,Yes,Not Graduate,No,2281,0.0,113,360,1,Rural,false,4.736198448394496,2281.0,7.732807530422021
LP001535,Male,No,Graduate,No,3254,0.0,50,360,1,Urban,true,3.9318256327243257,3254.0,8.08794755464267
LP001536,Male,Yes,Graduate,No,39999,0.0,600,180,0,Semiurban,true,6.398594934535208,39999.0,10.596634733096073
LP001541,Male,Yes,Graduate,No,6000,0.0,160,360,1,Rural,true,5.081404364984463,6000.0,8.699681400989514
LP001543,Male,Yes,Graduate,No,9538,0.0,187,360,1,Urban,true,5.236441962829949,9538.0,9.163143937145207
LP001546,Male,No,Graduate,No,2980,2083.0,120,360,1,Rural,true,4.795790545596741,5063.0,8.529911963824013
LP001552,Male,Yes,Graduate,No,4583,5625.0,255,360,1,Semiurban,true,5.545177444479562,10208.0,9.231024963169016
LP001560,Male,Yes,Not Graduate,No,1863,1041.0,98,360,1,Semiurban,true,4.59511985013459,2904.0,7.974188669286011
LP001562,Male,Yes,Graduate,No,7933,0.0,275,360,1,Urban,false,5.62040086571715,7933.0,8.978912601074276
LP001565,Male,Yes,Graduate,No,3089,1280.0,121,360,0,Semiurban,false,4.804021044733257,4369.0,8.382518288089635
LP001570,Male,Yes,Graduate,No,4167,1447.0,158,360,1,Rural,true,5.0689042022202315,5614.0,8.633196867172543
LP001572,Male,Yes,Graduate,No,9323,0.0,75,180,1,Urban,true,4.330733340286331,9323.0,9.140347000155648
LP001574,Male,Yes,Graduate,No,3707,3166.0,182,84,1,Rural,true,5.209486152841421,6873.0,8.835501457409778
LP001577,Female,Yes,Graduate,No,4583,0.0,112,360,1,Rural,false,4.727387818712341,4583.0,8.430327258394575
LP001578,Male,Yes,Graduate,No,2439,3333.0,129,360,1,Rural,true,4.867534450455582,5772.0,8.660947155060933
LP001579,Male,No,Graduate,No,2237,0.0,63,480,0,Semiurban,false,4.1588830833596715,2237.0,7.71333788887187
LP001580,Male,Yes,Graduate,No,8000,0.0,200,360,1,Semiurban,true,5.303304908059076,8000.0,8.987321812850125
LP001581,Male,Yes,Not Graduate,No,1820,1769.0,95,360,1,Rural,true,4.564348191467836,3589.0,8.185907481482324
LP001585,Male,Yes,Graduate,No,51763,0.0,700,300,1,Urban,true,6.55250788703459,51763.0,10.85445020594156
LP001586,Male,Yes,Not Graduate,No,3522,0.0,81,180,1,Rural,false,4.406719247264253,3522.0,8.167068178341237
LP001594,Male,Yes,Graduate,No,5708,5625.0,187,360,1,Semiurban,true,5.236441962829949,11333.0,9.335562336729565
LP001603,Male,Yes,Not Graduate,Yes,4344,736.0,87,360,1,Semiurban,false,4.477336814478207,5080.0,8.533263371593732
LP001606,Male,Yes,Graduate,No,3497,1964.0,116,360,1,Rural,true,4.762173934797756,5461.0,8.60557030203365
LP001608,Male,Yes,Graduate,No,2045,1619.0,101,360,1,Rural,true,4.624972813284271,3664.0,8.206583614320753
LP001610,Male,Yes,Graduate,No,5516,11300.0,495,360,0,Semiurban,false,6.206575926724928,16816.0,9.73014555852275
LP001616,Male,Yes,Graduate,No,3750,0.0,116,360,1,Semiurban,true,4.762173934797756,3750.0,8.229777750081887
LP001630,Male,No,Not Graduate,No,2333,1451.0,102,480,0,Urban,false,4.634728988229636,3784.0,8.23880116587155
LP001633,Male,Yes,Graduate,No,6400,7250.0,180,360,0,Urban,false,5.198497031265826,13650.0,9.521568058002977
LP001634,Male,No,Graduate,No,1916,5063.0,67,360,1,Rural,false,4.219507705176107,6979.0,8.850804195756417
LP001636,Male,Yes,Graduate,No,4600,0.0,73,180,1,Semiurban,true,4.304065093204169,4600.0,8.434028950155469
LP001637,Male,Yes,Graduate,No,33846,0.0,260,360,1,Semiurban,false,5.564520407322694,33846.0,10.429605648120413
LP001639,Female,Yes,Graduate,No,3625,0.0,108,360,1,Semiurban,true,4.6913478822291435,3625.0,8.195885391314796
LP001640,Male,Yes,Graduate,Yes,39147,4750.0,120,360,1,Semiurban,true,4.795790545596741,43897.0,10.6896240399389
LP001641,Male,Yes,Graduate,Yes,2178,0.0,66,300,0,Rural,false,4.204692619390966,2178.0,7.68662133494462
LP001643,Male,Yes,Graduate,No,2383,2138.0,58,360,1,Rural,true,4.07753744390572,4521.0,8.416709652837914
LP001644,Male,Yes,Graduate,Yes,674,5296.0,168,360,1,Rural,true,5.1298987149230735,5970.0,8.694669696546992
LP001647,Male,Yes,Graduate,No,9328,0.0,188,180,1,Rural,true,5.241747015059643,9328.0,9.140883106960962
LP001653,Male,No,Not Graduate,No,4885,0.0,48,360,1,Rural,true,3.8918202981106265,4885.0,8.494129251817686
LP001656,Male,No,Graduate,No,12000,0.0,164,360,1,Semiurban,false,5.10594547390058,12000.0,9.392745258631441
LP001657,Male,Yes,Not Graduate,No,6033,0.0,160,360,1,Urban,false,5.081404364984463,6033.0,8.705165419719007
LP001658,Male,No,Graduate,No,3858,0.0,76,360,1,Semiurban,true,4.343805421853684,3858.0,8.258163361537619
LP001664,Male,No,Graduate,No,4191,0.0,120,360,1,Rural,true,4.795790545596741,4191.0,8.340933226000878
LP001665,Male,Yes,Graduate,No,3125,2583.0,170,360,1,Semiurban,false,5.14166355650266,5708.0,8.64979915596426
LP001666,Male,No,Graduate,No,8333,3750.0,187,360,1,Rural,true,5.236441962829949,12083.0,9.399637542506563
LP001669,Female,No,Not Graduate,No,1907,2365.0,120,84,1,Urban,true,4.795790545596741,4272.0,8.360071435644025
LP001671,Female,Yes,Graduate,No,3416,2816.0,113,360,1,Semiurban,true,4.736198448394496,6232.0,8.73761303680885
LP001673,Male,No,Graduate,Yes,11000,0.0,83,360,1,Urban,false,4.430816798843313,11000.0,9.305741456739435
LP001674,Male,Yes,Not Graduate,No,2600,2500.0,90,360,1,Semiurban,true,4.51085950651685,5100.0,8.537191877922927
LP001677,Male,No,Graduate,No,4923,0.0,166,360,0,Semiurban,true,5.117993812416755,4923.0,8.501876487304344
LP001682,Male,Yes,Not Graduate,No,3992,0.0,146,180,1,Urban,false,4.866324565936641,3992.0,8.292298107063221
LP001688,Male,Yes,Not Graduate,No,3500,1083.0,135,360,1,Urban,true,4.912654885736052,4583.0,8.430327258394575
LP001691,Male,Yes,Not Graduate,No,3917,0.0,124,360,1,Semiurban,true,4.8283137373023015,3917.0,8.273336598504486
LP001692,Female,No,Not Graduate,No,4408,0.0,120,360,1,Semiurban,true,4.795790545596741,4408.0,8.391403185357937
LP001693,Female,No,Graduate,No,3244,0.0,80,360,1,Urban,true,4.394449154672439,3244.0,8.08487062913819
LP001698,Male,No,Not Graduate,No,3975,2531.0,55,360,1,Rural,true,4.02535169073515,6506.0,8.780633799494984
LP001699,Male,No,Graduate,No,2479,0.0,59,360,1,Urban,true,4.0943445622221,2479.0,7.8160138391590275
LP001702,Male,No,Graduate,No,3418,0.0,127,360,1,Semiurban,false,4.852030263919617,3418.0,8.137103389639302
LP001708,Female,No,Graduate,No,10000,0.0,214,360,1,Semiurban,false,5.3706380281276624,10000.0,9.210440366976517
LP001711,Male,Yes,Graduate,No,3430,1250.0,128,360,0,Semiurban,false,4.859812404361672,4680.0,8.45126704130007
LP001713,Male,Yes,Graduate,Yes,7787,0.0,240,360,1,Urban,true,5.484796933490655,7787.0,8.960339366492091
LP001715,Male,Yes,Not Graduate,Yes,5703,0.0,130,360,1,Rural,true,4.875197323201151,5703.0,8.648922962094131
LP001716,Male,Yes,Graduate,No,3173,3021.0,137,360,1,Urban,true,4.927253685157205,6194.0,8.731497794063243
LP001720,Male,Yes,Not Graduate,No,3850,983.0,100,360,1,Semiurban,true,4.61512051684126,4833.0,8.483429561263428
LP001722,Male,Yes,Graduate,No,150,1800.0,135,360,1,Rural,false,4.912654885736052,1950.0,7.576097340623111
LP001726,Male,Yes,Graduate,No,3727,1775.0,131,360,1,Semiurban,true,4.882801922586371,5502.0,8.613048677059759
LP001732,Male,Yes,Graduate,No,5000,0.0,72,360,0,Semiurban,false,4.290459441148391,5000.0,8.517393171418904
LP001734,Female,Yes,Graduate,No,4283,2383.0,127,360,1,Semiurban,true,4.852030263919617,6666.0,8.80492526261806
LP001736,Male,Yes,Graduate,No,2221,0.0,60,360,0,Urban,false,4.110873864173311,2221.0,7.706162970199575
LP001743,Male,Yes,Graduate,No,4009,1717.0,116,360,1,Semiurban,true,4.762173934797756,5726.0,8.652947112393857
LP001744,Male,No,Graduate,No,2971,2791.0,144,360,1,Semiurban,true,4.976733742420574,5762.0,8.659213451436667
LP001749,Male,Yes,Graduate,No,7578,1010.0,175,84,1,Semiurban,true,5.170483995038152,8588.0,9.058237593766226
LP001750,Male,Yes,Graduate,No,6250,0.0,128,360,1,Semiurban,true,4.859812404361672,6250.0,8.740496729931813
LP001751,Male,Yes,Graduate,No,3250,0.0,170,360,1,Rural,false,5.14166355650266,3250.0,8.086717920303906
LP001754,Male,Yes,Not Graduate,Yes,4735,0.0,138,360,1,Urban,false,4.9344739331306915,4735.0,8.462948176563842
